citation,n,x,y,z,space,contrast
Schreiber 2017,38,20,2,-24,MNI,pain_pat_con
Schreiber 2017,38,20,-2,-22,MNI,pain_pat_con
Schreiber 2017,38,38,18,-42,MNI,pain_pat_con
Schreiber 2017,38,20,-2,-34,MNI,pain_pat_con
Schreiber 2017,38,26,-10,-22,MNI,pain_pat_con
Schreiber 2017,38,40,0,-42,MNI,pain_pat_con
Schmid 2015,32,-12,-62,-10,MNI,pain_pat_con
Schmid 2015,32,-34,-76,50,MNI,pain_pat_con
Russo 2019,17,-9,-52,-29,Tal,pain_pat_con
Russo 2019,17,-6,38,37,Tal,pain_pat_con
Russo 2017_b,20,-6,40,15,Tal,pain_pat_con
Russo 2017_b,20,-40,49,11,Tal,pain_pat_con
Russo 2017_a,16,12,35,7,Tal,pain_pat_con
Russo 2012,16,-2,26,13,Tal,pain_pat_con
Rodriguez-Raecke 2014,19,40,26,8,MNI,pain_pat_con
Pukall 2005,14,20,-58,-58,Tal,pain_pat_con
Moana-Filho 2015,13,67,-26,26,MNI,pain_pat_con
Moana-Filho 2015,13,65,-24,22,MNI,pain_pat_con
Moana-Filho 2015,13,63,-13,32,MNI,pain_pat_con
Moana-Filho 2015,13,-65,-19,10,MNI,pain_pat_con
Moana-Filho 2015,13,-61,-23,25,MNI,pain_pat_con
Moana-Filho 2015,13,-57,-7,37,MNI,pain_pat_con
Moana-Filho 2015,13,-48,-6,57,MNI,pain_pat_con
Moana-Filho 2015,13,20,-66,-19,MNI,pain_pat_con
Moana-Filho 2015,13,43,-3,-12,MNI,pain_pat_con
Moana-Filho 2015,13,12,-16,9,MNI,pain_pat_con
Moana-Filho 2015,13,43,44,33,MNI,pain_pat_con
Moana-Filho 2015,13,43,52,19,MNI,pain_pat_con
Moana-Filho 2015,13,-37,-5,-5,MNI,pain_pat_con
Moana-Filho 2015,13,-16,4,19,MNI,pain_pat_con
Moana-Filho 2015,13,-40,30,-7,MNI,pain_pat_con
Moana-Filho 2015,13,47,-15,61,MNI,pain_pat_con
Moana-Filho 2015,13,36,-44,45,MNI,pain_pat_con
Mathur 2016,14,30,2,14,MNI,pain_pat_con
Lloyd 2008,15,-30,-72,42,MNI,pain_pat_con
Lloyd 2008,15,-40,-80,-16,MNI,pain_pat_con
Lloyd 2008,15,-40,-60,-10,MNI,pain_pat_con
Kim 2013,21,-34,-58,-24,MNI,pain_pat_con
Kim 2013,21,-52,-38,24,MNI,pain_pat_con
Kim 2013,21,56,-30,30,MNI,pain_pat_con
Kim 2013,21,42,-2,2,MNI,pain_pat_con
Kim 2013,21,-40,-4,-12,MNI,pain_pat_con
Kim 2013,21,52,10,8,MNI,pain_pat_con
Kim 2013,21,12,-20,2,MNI,pain_pat_con
Kim 2013,21,8,-84,8,MNI,pain_pat_con
Hiramatsu 2014,12,24,22,52,MNI,pain_pat_con
Hiramatsu 2014,12,20,6,44,MNI,pain_pat_con
Hiramatsu 2014,12,-16,44,42,MNI,pain_pat_con
Hiramatsu 2014,12,-26,-86,46,MNI,pain_pat_con
Hiramatsu 2014,12,30,-74,2,MNI,pain_pat_con
Hiramatsu 2014,12,-14,-96,4,MNI,pain_pat_con
Hiramatsu 2014,12,-38,-80,32,MNI,pain_pat_con
Hampson 2013,24,-38,0,4,MNI,pain_pat_con
Hampson 2013,24,-4,-26,28,MNI,pain_pat_con
Hampson 2013,24,10,-4,52,MNI,pain_pat_con
Hampson 2013,24,-20,-12,2,MNI,pain_pat_con
Hampson 2013,24,-36,0,8,MNI,pain_pat_con
Guleria 2017,20,-42,14,4,MNI,pain_pat_con
Guleria 2017,20,-57,-27,-8,MNI,pain_pat_con
Guleria 2017,20,-24,-61,23,MNI,pain_pat_con
Guleria 2017,20,-33,32,-5,MNI,pain_pat_con
Gracely 2002,16,55,-18,29,Tal,pain_pat_con
Gracely 2002,16,52,-40,38,Tal,pain_pat_con
Gracely 2002,16,58,-28,28,Tal,pain_pat_con
Gracely 2002,16,36,4,6,Tal,pain_pat_con
